PVS     TASKS      TIME
1       1         0.914076
1       1         0.833247
1       2         0.86932
1       1         0.896936
1       1         0.833769
1       2         1.64588
1       3         2.52327
2       1         0.826476
2       2         0.87605
2       3         1.69073
3       1         0.853936
3       2         0.902902
3       3         1.6897
1       1         0.849112
1       1         0.933952
1       2         1.79006
1       3         2.78083
1       4         3.15555
